Season,Episode,Title,Airdate,Synopsis,Director,Writers
14,12,Off the Grid,"January 17, 2017.","After spotting the brother of an NCIS Most Wanted suspect, Gibbs immediately assumes a former alias and goes undercover with their infamous antigovernmental militia group while Bishop and Reeves work together on an off-the-books investigation.",Rocky Carroll,George Schenck & Frank Cardea
14,13,Keep Going,"January 24, 2017.","During an NCIS investigation into a hit and run, Palmer joins a stranger on the outside ledge of a building in an attempt to save the man's life.",Terrence O'Hara,Scott Williams
14,14,Nonstop,"February 7, 2017.","The murder of a Petty Officer in a small town outside D.C. prompts NCIS to once again work with ""The Sherlocks"" - a privately funded investigative team that includes their newest member: Anthony DiNozzo Senior.",Mark Horowitz ,Brendan Fehily
14,15,Pandora's Box (Part 1),"February 14, 2017.",Abby's homeland security think-tank is compromised and she is later found in be possession of a real bomb while participating in an undercover operation for Homeland Security at a rock concert. The NCIS team investigate and discover that not only has the leader of the group been murdered but a theoretical terror playbook has been stolen.,Alrick Riley,Christopher J. Waild
14,16,A Many Splendored Thing,"February 21, 2017.","The NCIS team investigate the death of a Navy Lieutenant Commander, while Torres teaches his colleagues the art of pickpocketing. Bishop embarks on a personal quest, determined to exact revenge against Kai Chen who ordered the murder of her boyfriend, Qasim Naasir when the team discovers a new lead in the case.",Michael Zinberg,Steven D. Binder & David J. North
14,17,What Lies Above,"March 7, 2017.",McGee discovers his apartment has been torn apart by robbers trying to locate an item of great value hidden somewhere by the convicted criminal who previously owned the unit while Congresswoman Flemming tries to persuade Director Vance to pursue a career in politics.,Leslie Libman,Scott Williams
14,18,M.I.A.,"March 14, 2017.","To carry out a sailor's dying wish, Gibbs and the NCIS team reinvestigate a murder case that was originally ruled an accidental death with the case also reminding Torres of a tragic time from his past.",Thomas J. Wright,Jennifer Corbett
14,19,The Wall,"March 28, 2017.","When a Marine is murdered at an event being held the Honor Flight Network, a non-profit organization that arranges veterans to visit the World War II, Korea and Vietnam War Memorials for free, the NCIS team investigate while relying on an irritable Vietnam War veteran, Henry Rogers, to provide details on the victim's whereabouts throughout the day while McGee and Bishop investigate a juicy rumor about Quinn and Torres.",Bethany Rooney,Gina Lucita Monreal
14,20,A Bowl of Cherries,"April 4, 2017.","When a vice admiral's laptop is infected with ransomware, he enlists McGee and the NCIS team to track down the hacker before the computer virus eliminates his personal and professional files forever while Quinn takes time off to assist her mother, Marie after she receives a ""911"" text.",Edward Ornelas,Brendan Fehily
14,21,"One Book, Two Covers","April 18, 2017.",Torres must rely on old case notes and contacts after a Marine's murder is linked to a former dirt bike gang he joined for a year-long undercover operation.,Terrence O'Hara,David J. North
14,22,Beastmaster,"May 2, 2017.","When a Marine Sergeant is found murdered in a National Park, the NCIS team partner with a Mounted Police Sergeant to solve a string of related crimes that have occurred there.",Bethany Rooney,Christopher J. Waild
14,23,Something Blue,"May 9, 2017.",NCIS investigate when a young and healthy Petty Officer aboard a Navy destroyer dies in his sleep while the stress of McGee and Delilah's imminent wedding takes its toll as Delilah is rushed to the hospital after collapsing. ,"James Whitmore, Jr",Jennifer Corbett & Scott Williams
14,24,Rendezvous,"May 16, 2017.","Gibbs, McGee and Torres travel to a remote area in Paraguay controlled by a group of violent rebels in an attempt to locate a missing Navy SEAL who disappeared during an unsanctioned trip but the three agents soon find themselves fighting for their lives in a dangerous mission.",Tony Wharmby,George Schenck & Frank Cardea & Steven D. Binder
15,1,House Divided,"September 26, 2017.","With two months having passed since Gibbs and McGee were last seen fighting an elusive group of rebels in a Paraguay jungle, the NCIS team in D.C. tirelessly searches for their missing colleagues while Vance and Torres are summoned to a congressional hearing regarding the fallout from the mission.",Tony Wharmby,Steven D. Binder
15,2,Twofer,"October 3, 2017.","NCIS is called in to investigate when the body of a missing Navy Lieutenant who disappeared a year and a half ago is located by a cemetery grounds crew while they are relocating caskets on the property. As the team attempt to solve their latest case, Gibbs and McGee must pass a psych evaluation with Doctor Grace Confalone before officially resuming all work responsibilities.","James Whitmore, Jr",Scott Williams
15,3,Exit Strategy,"October 10, 2017.","While on a stakeout with Metro P.D., Torres's partner mysteriously vanishes and is later found dead, NCIS investigate the death, uncovering evidence from a ten year old murder with the team later racing to save a young boy who's been kidnapped while Ducky's friend, Cadence Darwin presents him with a new opportunity during his guest lecture series.",Terrence O'Hara,Christopher J. Waild
15,4,Skeleton Crew,"October 17, 2017.","During a storm that has shut down Washington D.C. and also knocked out power, the NCIS team investigate the kidnapping of a sailor with Torres and Bishop being sent out to sea to track evidence which is connected to the case while Vance welcomes NCIS Special Agent Jacqueline Sloane, a forensic psychologist he lobbied to transfer from California to headquarters and onboard the ship, Bishop meets a face from her high school days.",Rocky Carroll,Jennifer Corbett
15,5,Fake It 'Til You Make It,"October 24, 2017.","After Reeves witnesses the kidnapping of his friend, the NCIS team investigate and soon discover that the primary suspect who disappeared two days ago is linked to the theft of confidential military information while an embarrassing photo from McGee's teenage years becomes a popular meme.",Thomas J. Wright,David J. North
15,6,Trapped,"October 31, 2017.","After a Navy Petty Officer is found murdered on a golf course, McGee spends hours on the victim's ham radio trying to locate a key witness while Palmer asks his co-workers to donate to a charity that builds playgrounds for kids of all abilities with Torres ultimately surprising everyone with his generosity.",Bethany Rooney,Brendan Fehily
15,7,Burden of Proof,"November 7, 2017.","After a convicted felon swears the NCIS agency framed him for murder a decade ago, Gibbs begins his own investigation, starting with a new autopsy by Ducky while Fornell joins the team since he was the lead investigator in the original joint FBI and NCIS case.",Dennis Smith,Gina Lucita Monreal
15,8,Voices,"November 14, 2017.",An NCIS person of interest in a bribery and fraud case is found murdered after a runner is led to his body by a strange voice while McGee and Delilah disagree on whether to find out the baby's sex or keep it a surprise.,Tony Wharmby,Steven D. Binder
15,9,Ready or Not,"November 21, 2017.",The team find their respective Thanksgiving plans being put on hold while they track an elusive international arms dealer in D.C. who recently murdered an MI5 officer who was Sloane's close friend while Abby races Delilah to the hospital when her labor starts three weeks early.,Terrence O'Hara,Scott Williams
15,10,Double Down,"December 12, 2017.","As Torres and Sloane run protection detail for U.S. Senator John Phillips in Afghanistan for the holidays, they must urgently return to the States after hearing the senator's son, Chandler, is in the ICU while Gibbs and the rest of the team investigate the altercation.",Alrick Riley,Christopher J. Waild
15,11,High Tide,"January 2, 2018.","During an NCIS sting operation that's tracking illegal drug-running out of the Norfolk civilian marine, Torres and Bishop go undercover as a criminal couple available for hire.",Tony Wharmby,David J. North & Steven D. Binder
15,12,Dark Secrets,"January 9, 2018.",NCIS investigate when a Navy Lieutenant who was due to celebrate her birthday and also appeared to have a seemingly happy and successful life commits suicide.,Bethany Rooney,George Schenck & Frank Cardea
15,13,Family Ties,"January 23, 2018.","After McGee and Torres visit a high school student who witnessed a hit and run that resulted in the death of a Marine, the investigation hits a snag when the student and her parents flee, leaving the NCIS team struggling to solve the case while Vance's daughter is arrested for shoplifting.",Rocky Carroll,Brendan Fehily
15,14,Keep Your Friends Close,"February 6, 2018.","After the body of a missing Navy commander is found, Vance orders Gibbs and the NCIS team to work with former FBI Agent Tobias ""T.C."" Fornell, the private investigator who was hired to locate him while Bishop and Torres interview convicted investment advisor Albert Hathaway when the victim is linked to his highly publicized trial.",Mark Horowitz,Gina Lucita Monreal
15,15,Keep Your Enemies Closer,"February 27, 2018.","NCIS strikes a deal with convicted murderer Paul Triff, giving him a 48-hour furlough at his former residence - which is now McGee's home - in exchange for information that can convict his former cellmate, Gabriel Hicks, the murderer who deceived Gibbs and Fornell.",Thomas J. Wright,Jennifer Corbett
15,16,Handle With Care,"March 6, 2018.",Gibbs and the team work to clear the name of retired Marine Sergeant John Ross when cyanide is found in one of the hundreds of care packages he sends to active-duty Marines.,Alrick Riley,Scott J. Jarrett & Matthew R. Jarrett
15,17,One Man's Trash,"March 13, 2018.","Gibbs and Ducky investigate when they see an antique war stick on television, one that could be the missing murder weapon to a case that has been cold for sixteen years.",Michael Zinberg,Scott Williams
15,18,Death From Above,"March 27, 2018.","The NCIS headquarters are evacuated after the team discovers a body as well as bomb materials on the roof of the squad room, sending the NCIS team on a race to stop an impending attack while the team also begin reading the first draft of Ducky's upcoming book. ",Rocky Carroll,Christopher J. Waild
15,19,The Numerical Limit,"April 3, 2018.","As the NCIS team investigate the deaths of two men, they meet a 10 year old girl who's being targeted by members of a violent gang that Gibbs has crossed paths with before.",Leslie Libman,David J. North & Steven D. Binder
15,20,Sight Unseen,"April 17, 2018.",NCIS searches for a Petty Officer suspected of assault who escapes when the sheriff transporting him crashes into a lake while Torres works closely with a key witness who may help the team solve the case.,Bethany Rooney,Brendan Fehily
15,21,One Step Forward,"May 1, 2018.","At the request of a woman, the NCIS team investigate her mother's murder as the woman believes the local authorities convicted the wrong man while Abby is awarded a dinner reservation for two to a brand-new five-star restaurant in an igloo and has to decide which co-worker deserves to go with her.","James Whitmore, Jr",Gina Lucita Monreal
15,22,Two Steps Back,"May 8, 2018.","As the NCIS team mourn the loss of a close friend while another is left comatose, they begin searching old case files to determine who from the past wants revenge against one of their own.",Michael Zinberg,Jennifer Corbett
15,23,Fallout,"May 15, 2018.","While Gibbs attends the memorial service for a friend who was lost at sea, he discovers that the deceased man, Navy Captain Phillip Brooks, has in fact been hiding in a fallout shelter after his boat was attacked and he swam to shore while the team struggle to come to terms with Abby's departure from NCIS and Reeves's death.",Terrence O'Hara,David J. North & Christopher J. Waild
15,24,Date With Destiny,"May 22, 2018.","As the NCIS team investigate a bomb threat that's been made against a Navy ship, Sloane is adamant that a man who held her hostage and tortured her years ago in Afghanistan, and was believed to have been killed following her rescue, is alive and in D.C., leading Vance and Gibbs to fear she's willing to risk everything to destroy this man.",Tony Wharmby,Scott Williams & George Schenck & Frank Cardea
16,1,Destiny's Child,"September 25, 2018.","With one month having passed since Vance was kidnapped, the NCIS team continues their worldwide search for their missing Director.",Tony Wharmby,Steven D. Binder
16,2,Love Thy Neighbor,"October 2, 2018.","After a Navy Lieutenant is found murdered in his hot tub, the team interviews several families in the victim's peculiar neighborhood with the team soon discovering that there's a serial killer operating in the neighborhood while Torres faces the consequences after a night out with Palmer ends with the two of them being arrested.",Terrence O'Hara,Scott Williams
16,3,Boom,"October 9, 2018.","When an explosion occurs outside the home of a Navy Petty Officer, leaving two people dead, the NCIS team investigate and soon find themselves racing against the clock to find and stop a bomber whose targets appear to be random. Vance continues physical therapy for the injuries he sustained during his time as a prisoner of Nigel Hakim, ""The Monster"".",Leslie Libman,Brendan Fehily
16,4,Third Wheel,"October 16, 2018.",Gibbs finds his quiet vacation at his remote cabin interrupted by a surprise visit from Tobias Fornell and Navy Captain Phillip Brooks as well as a call from NCIS asking for his help locating a robber hiding in the woods near him.,"James Whitmore, Jr",Christopher J. Waild
16,5,Fragments,"October 23, 2018.","After a 50-year-old tape recording left by a murder victim is found, the NCIS team tries to exonerate Ray Jennings, the Marine serving a life sentence for the crime.",Michael Zinberg,Gina Lucita Monreal
16,6,Beneath The Surface,"October 30, 2018.","After NCIS arrives at a Halloween crime scene, Torres recognizes the victim as a friend from federal law enforcement training while Jimmy thinks his lab is haunted by ghosts after objects keep mysteriously moving.",Rocky Carroll,Scott J. Jarrett & Matthew R. Jarrett
16,7,A Thousand Words,"November 13, 2018.","After a mural by a street artist and activist is stolen, the NCIS investigation leads to a conspiracy regarding a Navy contractor and the safety of ocean mammals while Bishop shares a special connection with the street artist.",Alrick Riley,David J. North
16,8,Friendly Fire,"November 20, 2018.",McGee and Bishop travel to Afghanistan after a murder case in the states is linked to a string of soldiers killed by friendly fire overseas while Kasie leaves the lab and accompanies Torres into the field to process additional forensic evidence.,Thomas J. Wright,Jennifer Corbett
16,9,Tailing Angie,"December 4, 2018.","When the lead suspect of an unsolved and high-profile robbery case is released from prison, the NCIS team resumes their investigation with an undercover stakeout.",Terrence O'Hara,George Schenck
16,10,What Child is This?,"December 11, 2018.",The team's Christmas holiday plans are put on hold when the murder investigation of a Navy veteran includes the discovery of a new-born baby who has no identification and no apparent ties to a family.,Michael Zinberg,Scott Williams
16,11,Toil and Trouble,"January 8, 2019.",A murder investigation is put in jeopardy when the United States Secretary of Defense Wynn Crawford visits NCIS Headquarters and promptly shuts down Gibbs's murder investigation while also demanding that McGee and Torres be arrested for their actions in the case.,Leslie Libman,Christopher J. Waild
16,12,The Last Link,"January 15, 2019.","As the NCIS team investigate the murder of a Navy Lieutenant who was in protective custody from an infamous drug dealer, Gibbs finds himself accompanying old family friend, Army Corporal John Sydney, on a road trip to search for a missing military I.D. bracelet.",Rocky Carroll,Brendan Fehily
16,13,She,"February 12, 2019.","NCIS investigate when a confused and malnourished nine year old girl is found hiding in a storage unit on a Marine base, with the team discovering it's connected to a ten year old cold case regarding the disappearance of a Navy recruit. As Bishop digs deeper, she learns that her predecessor has been keeping notebooks and files on the case.",Mark Horowitz,Gina Lucita Monreal
16,14,Once Upon a Tim,"February 19, 2019.","While at a crime scene where a Department of Defense contractor has been found murdered, McGee is shocked when the unique password he used for a computer he owned during high school is uncovered with things becoming personal when an intruder breaks into his home to steal the computer in question.",Tony Wharmby,David J. North & Steven D. Binder
16,15,Crossing The Line,"February 26, 2019.",The NCIS team investigates a man overboard fatality from a Navy destroyer at sea with the investigation soon revealing that his death was due to consuming an energy drink that was laced with drugs while Torres is frustrated with Vance's assignment to mentor three high school students.,Michael Zinberg,Jennifer Corbett
16,16,Bears and Cubs,"March 12, 2019.","Jimmy finds himself being torn between family loyalty and work after his father-in-law, Ed, asks him to tamper with evidence from NCIS's current murder investigation while Ed's poker buddy, Anthony DiNozzo Senior offers to help with the case.",Diana Valentine,Scott Williams
16,17,Silent Service,"March 26, 2019.","While on the nuclear submarine U.S.S. Memphis, conducting an investigation into the death of a Navy SEAL, Gibbs and Bishop are left trapped when the submarine dives for a mission with Vance discovering from the Pentagon that the submarine has gone radio silent while McGee and Torres race against the clock to find and stop the person responsible for the actions that the sub has taken.",Rocky Carroll,Scott J. Jarrett & Matthew R. Jarrett
16,18,Mona Lisa,"April 2, 2019.","Torres relies on his team's investigative skills after he wakes up on a dilapidated fishing boat, covered in blood and unable to remember the last twelve hours.",Alrick Riley,David J. North & Brendan Fehily
16,19,Perennial ,"April 9, 2019.","Following an active shooter lockdown at a naval hospital, the NCIS team searches for a suspect who fled the scene with Sloane also investigating after she discovers that someone from her past was inside the hospital and as such is a key witness in the case.",Tony Wharmby,Gina Lucita Monreal
16,20,Hail & Farewell,"April 16, 2019.",NCIS investigates the death of a Marine Major who was thought to have died in the 9/11 attack on the Pentagon when human remains are discovered at a construction site with Gibbs vowing to solve the case due to his own personal history with the victim.,Michael Zinberg,Jennifer Corbett
16,21,"Judge, Jury... ","April 30, 2019.","After entering cold case DNA into the system, Kasie solves a 30-year-old murder case but a loophole in the legal system may set the suspect free while McGee visits an elite technology company in Silicon Valley that is offering him a highly-paid position.","James Whitmore, Jr",Christopher J. Waild
16,22,...and Executioner,"May 7, 2019.","After NCIS finds a secret government bank account that's funding a nationwide network of vigilante justice, the team must determine who is acting as judge and jury.",Terrence O'Hara,Christopher J. Waild & David J. North
16,23,Lost Time,"May 14, 2019.",The NCIS team investigates the murder of a Marine Sergeant in the States who was hailed as a war hero for his efforts overseas while Gibbs turns to Doctor Grace Confalone for advice after he uncharacteristically unravels and abandons his team at a crime scene.,Diana Valentine,Frank Cardea & Scott Williams
16,24,Daughters,"May 21, 2019.","Former FBI Agent Tobias Fornell, who's now a Private Investigator, pleads with Gibbs to do whatever is necessary to take down drug dealers and suppliers in the area after his daughter, Emily Fornell, is hospitalized from an opiate overdose while Gibbs is haunted by the personal aspects of the case and also his own history with vigilante justice.",Tony Wharmby,Steven D. Binder
17,1,Out of the Darkness,"September 24, 2019.","Ziva surprises Gibbs with a cryptic warning, prompting him to question why she remained underground for years while being presumed dead by her family and her former NCIS colleagues.",Terrence O'Hara,Gina Lucita Monreal
17,2,Into the Light,"October 1, 2019.","With their lives in danger, Gibbs and Ziva's rogue investigation takes an unexpected turn when a possible terrorist plot is revealed.",Tony Wharmby,Steven D. Binder
17,3,Going Mobile,"October 8, 2019.","After the body of a Marine Lieutenant is found hidden under an 18-wheeler that was delivering goods to the Navy Yard, the NCIS team investigate and track the vehicle's previous locations to pinpoint the crime scene and suspect while Sloane encourages the team to sit down and talk about Ziva's recent reappearance.",Tom Wright,Scott Williams
17,4,Someone Else's Shoes,"October 15, 2019.","The NCIS team links a bizarre crime scene at Arlington National Cemetery to a string of attacks on homeless veterans while Vance orders McGee, Bishop and Torres to complete hours of evidence garage clean-up duty as punishment for withholding information.",Michael Zinberg,Christopher J. Waild
17,5,Wide Awake,"October 22, 2019.",NCIS investigates a Marine Corporal after evidence suggests she murdered her neighbor while being treated for insomnia by a hypnotherapist as Gibbs befriends his new neighbors after the 9-year-old's baseball crashes through his window.,Diana Valentine,Brendan Fehily
17,6,Institutionalized,"November 5, 2019.","When a Petty Officer's nephew is found murdered at his ""welcome home from prison"" party, the evidence suggests Kasie's lifelong best friend, Dante Brown is the suspect although Kasie believes otherwise.",Tony Wharmby,David J. North
17,7,No Vacancy,"November 12, 2019.","While investigating a Marine's murder, the NCIS team uncovers a labyrinth of live-streaming spy cameras hidden in the rooms of a Virginia motel.",Rocky Carroll,Marco Schnabel
17,8,Musical Chairs,"November 19, 2019.",The team investigates the murder of a musician in the Navy's most elite band that performs at diplomatic events around the world.,Michael Zinberg,Kate Torgovnick May
17,9,IRL,"November 26, 2019.","The NCIS team investigate when a popular gaming app live-streams the murder of a Navy Petty Officer while Gibbs watches his 11-year-old neighbor, Phineas, when his mom must leave on a last-minute trip.",Terrence O'Hara,Christopher J. Waild
17,10,The North Pole,"December 17, 2019.","Gibbs and the team assist Ziva with ""the one thing"" she said she would need to take care of before returning to her family.","James Whitmore, Jr",Gina Lucita Monreal
17,11,In The Wind,"January 7, 2020.","When Phineas disappears, Gibbs gets personally involved with the team becoming increasingly concerned for his well-being.",Rocky Carroll,Scott Williams
17,12,Flight Plan,"January 14, 2020.",The NCIS team investigates an F-18 crash and the subsequent disappearance of the pilot who operated the aircraft while McGee reluctantly discusses a very personal decision with his teammates.,Tawnia McKiernan,Brendan Fehily
17,13,Sound Off,"January 21, 2020.","After a body is found at an unmanned aerial vehicle testing site, the NCIS team must determine if the death was murder or an accident while Palmer carefully interviews medical assistant candidates.",William Webb,Lisa Di Trolio
17,14,On Fire,"January 28, 2020.","After Torres and Bishop are victims of a hit-and-run while out jogging, Torres fights for his life in the ICU as the rest of the NCIS team investigate in an attempt to find out who was responsible.",Mark Horowitz,David J. North & Steven D. Binder
17,15,Lonely Hearts,"February 11, 2020.",The lead suspect in an NCIS murder investigation is a woman Gibbs's friend Phillip Brooks met on a dating site while Sloane has a secret admirer on Valentine's Day.,Michael Zinberg,Marco Schnabel
17,16,Ephemera,"February 18, 2020.","While investigating the suicide of a retired Navy officer who left a rare, valuable - and possibly stolen - coin to the Nation Museum of the Navy, the team imagine themselves in his life story in order to piece together how the coin ended up in his possession.",Diana Valentine,Christopher J. Waild
17,17,In a Nutshell,"March 10, 2020.","As the NCIS team investigates the death of a Navy officer murdered the same way as his parents a decade ago, they stumble across a storage container filled with dollhouses that display recreations of murder scenes. While they all agree to clean out their living spaces, some have a harder time saying goodbye to their possessions than others.",Michael Zinberg,Katie White
17,18,Schooled,"March 24, 2020.","The team searches for answers when the body of a well-regarded Navy technician in the Reserves is found floating in a lake where a popular community event is being held while Sloane is caught off-guard when her daughter, Faith, makes an unexpected request.",Alrick Riley,Kate Torgovnick May & Steven D. Binder
17,19,Blarney,"March 31, 2020.","When Kasie and Jimmy are held hostage in the diner after a jewelry store robbery goes awry, they attempt to keep the other customers safe from the thieves while Gibbs, Bishop and Torres attempt to bring the siege to an end without any bloodshed.",Rocky Carroll,Scott Williams
17,20,The Arizona,"April 14, 2020.",The team work to verify the identity of a man who claims to have served on the U.S.S. Arizona.,"James Whitmore, Jr",Gina Lucita Monreal
18,1,Sturgeon Season,"November 17, 2020.","As Gibbs and Fornell attempt to track down the leader of a drug ring who supplied drugs to Fornell's daughter, the rest of the NCIS team deals with the case of a missing cadaver from the NCIS autopsy room.",Michael Zinberg,Scott Williams
18,2,Everything Starts Somewhere,"November 24, 2020.","Flashbacks reveal the murder case that first introduced young Gibbs to NCIS and his introduction to young, new-to-America Ducky.",Terrence O'Hara,Steven D. Binder
18,3,Blood and Treasure,"December 8, 2020.",The discovery of two dead bodies in a forest leads the NCIS team into the wild world of modern-day treasure hunting while Gibbs and Fornell get deeper into their search for the opioid kingpin.,Diana Valentine,Christopher J. Waild
18,4,Sunburn,"January 19, 2021.",McGee and his wife Delilah's Bahamian vacation turns into a high-stakes mission when a case NCIS is tracking of a dead escape room manager has ties to the island while Gibbs fears the worst when his search for Fornell leads to blood.,Rocky Carroll,Marco Schnabel
18,5,Head of the Snake,"January 19, 2021.",Gibbs and Fornell's crusade to find the head of the drug ring responsible for Fornell's daughter Emily's overdose concludes while Gibbs and Vance finally let the team in on a case that has dangerous implications.,Tawnia McKiernan,Brendan Fehily & David J. North
18,6,1mm,"January 26, 2021.","Following a tip about smuggled weapons, Bishop and Torres engage in a shootout in a former sheriff's residence that's now a historical site, only to find themselves locked in abandoned cells there as Gibbs and McGee race to find them.",Diana Valentine,Gina Lucita Monreal
18,7,The First Day,"February 9, 2021.",NCIS investigates the murder of a Navy officer who was killed while driving home a recently released inmate while Gibbs helps Palmer deal with a personal trauma.,"James Whitmore, Jr",Margaret Rose Lester
18,8,True Believer,"March 2, 2021.","When Sloane's name is discovered in Afghanistan at the site of an abandoned bus with a dead driver, Gibbs accompanies her on a trip to find a group of girls who were kidnapped from the bus while McGee, Bishop and Torres track down a hacker who emailed compromising information to the Taliban.",Terrence O'Hara,Jill Weinberger
18,9,Winter Chill,"March 9, 2021.",NCIS dives into the competitive world of food trucks after finding a man frozen to death in the back of one.,Michael Zinberg,Scott Williams
18,10,Watchdog,"March 16, 2021.",NCIS uncovers a secret dogfighting ring which leads to an unexpected move by one of the team members.,Diana Valentine,Brendan Fehily & David J. North
18,11,Gut Punch,"April 6, 2021.","Vance assigns McGee, Torres and Bishop to COVID compliance duty at a foreign affairs summit where they soon discover a link to a murder case another NCIS team is investigating.",Rocky Carroll,Christopher J. Waild
18,12,Sangre,"April 27, 2021.","Evidence from the stabbing of a Marine Sergeant leads Torres to reunite with his father, Miguel, who left when he was a child.","James Whitmore, Jr",Marco Schnabel
18,13,Misconduct,"May 4, 2021.","While the team investigates a biker killed in a hit and run, Gibbs prepares to testify against a financial advisor who stole millions from his Navy clients.",Tawnia McKiernan,Margaret Rose Lester & David J. North & Brendan Fehily
18,14,Unseen Improvements,"May 11, 2021.","NCIS tracks a stolen laptop to the uncle of Phineas, Gibbs's former neighbor.",Diana Valentine,Scott Williams & Steven D. Binder
18,15,Blown Away,"May 18, 2021.","When members of an NCIS Regional Enforcement Action Capabilities Training (REACT) Team are killed during an explosion while in the middle of a hostage situation involving a Navy Petty Officer Second Class, NCIS Special Agent Jessica Knight, the lone surviving member of the team temporarily joins the MCRT in hopes of uncovering the truth of what happened to her colleagues.",Michael Zinberg,Marco Schnabel & Christopher J. Waild
18,16,Rule 91,"May 25, 2021.","As the NCIS team pursue a dangerous arms dealer, they're left shocked when Bishop is implicated in the leaking of highly classified NSA documents while Gibbs and Marcie realize the killer they've been tracking may be onto them.",Diana Valentine,David J. North & Brendan Fehily
19,1,Blood in the Water,"September 20, 2021.","As the NCIS team search for Gibbs after wreckage from his boat is discovered, they find out he was tracking a serial killer with journalist Marcie Warren who wrote an exposé on him.",Michael Zinberg,Christopher J. Waild
19,2,Nearly Departed,"September 27, 2021.","While trying to find the serial killer Gibbs was after, the NCIS team discovers another person has been tracking the case as well.",Terrence O'Hara,Scott Williams
19,3,Road to Nowhere,"October 4, 2021.","As Gibbs and Parker go on a road trip to find one of the serial killer's victims, Knight goes undercover at a large manufacturing company with ties to the murders.",Rocky Carroll,Marco Schnabel
19,4,Great Wide Open,"October 11, 2021.",Gibbs and McGee head to Alaska while the team works at home to uncover the conspiracy behind the serial killer with the case prompting Gibbs to make a life-changing decision.,Terrence O'Hara,David J. North & Brendan Fehily
19,5,Face the Strange,"October 18, 2021.",The NCIS team investigate when a Navy Petty Officer is found dead in a grave but matters are complicated when the body explodes before Jimmy can examine it while Parker has to decide what to do with his life in the aftermath of being fired from the FBI.,Diana Valentine,Steven D. Binder
19,6,False Start,"November 1, 2021.",NCIS investigates when a beloved Navy Commander who trained some of the top athletes in the country is murdered.,"James Whitmore, Jr",Christopher J. Waild & Katherine Beattie
19,7,Docked,"November 8, 2021.",NCIS investigates the death of a man on a cruise ship whose body is discovered in the ship's sauna by none other than McGee's mother-in-law.,Michael Zinberg,Yasemin Yilmaz & Marco Schnabel
19,8,Peacekeeper,"November 29, 2021.",NCIS investigates the case of a Navy reservist whose body is found in a beat-up car at the end of a gun range while Kasie weighs the pros and cons of buying a gun.,Rocky Carroll,Margaret Rose Lester & Scott Williams
19,9,Collective Memory,"December 6, 2021.","When a hotshot financial advisor is found shot dead at a naval station, the NCIS team investigate and even interview the victim's three-dimensional hologram of herself which she created before her death to determine a motive for the killing.",Leslie Libman,Kimberly-Rose Wolter & David J. North
19,10,Pledge of Allegiance,"January 3, 2022.",NCIS is called in when a Navy Chief Warrant Officer is suspected of trying to sell stolen classified Navy software used to pilot combat drones.,Rocky Carroll,Brendan Fehily
19,11,All Hands,"January 17, 2022.","After a civilian research vessel in the North Atlantic picks up a small boat of wounded Navy officers, the team arrives on the ship and is forced to go into hiding after discovering terrorists are also on board while Knight takes a paper doll with her on the mission to capture photos for her niece's grade school class.",Martha Mitchell,Christopher J. Waild
19,12,Fight or Flight,"January 24, 2022.","When the body of a Navy Lieutenant is discovered missing an eye, the investigation leads the NCIS team to the world of cage fighting while Torres struggles with his feelings over the departure of his father, Bishop and Gibbs.","James Whitmore, Jr",Katherine Beattie
19,13,The Helpers,"February 28, 2022.","While investigating the death of an intruder at Quantico, Jimmy and Kasie are exposed to a deadly biotoxin, trapping them in the lab. With time running out, the NCIS team calls on Doctor Carol Wilson for help as they race to find the antidote. As that goes on, Torres tries to distract Jimmy's daughter who came to the office to spend the day with her father.",Diana Valentine,Brian Dietzen & Scott Williams
19,14,First Steps,"March 7, 2022.","As NCIS investigates the cause of death of a reservist Navy SEAL surgeon, they're forced to bring Vance's daughter, Kayla, who recently trained with NCIS, to help with a highly dangerous mission. However the case turns personal for Vance when Kayla is abducted, sending the team into a desperate race against time to find her before it's too late.",Michael Zinberg,Yasemin Yilmaz
19,15,Thick As Thieves,"March 14, 2022.",Parker's delinquent past resurfaces when NCIS is called to Philadelphia to investigate the death of a Navy petty officer.,Terrence O'Hara,Marco Schnabel
19,16,The Wake,"March 21, 2022.",A gruesome mishap at a Navy petty officer's gender-reveal party leads NCIS to the case of a missing teacher that was popularized on a true crime podcast.,Rocky Carroll,Katie White
19,17,Starting Over,"March 28, 2022.","As NCIS investigates the suicide of a retired Navy Lieutenant Commander who was also a member of a grief group that Palmer and Knight attend, Torres receives a phone call from NCIS Hawaii Special Agent in Charge Jane Tennant regarding a lead on a case they worked on together.",Michael Zinberg,Margaret Rose Lester & Scott Williams
19,18,Last Dance,"April 18, 2022.","When an infamous arms dealer is released from prison and bodies start piling up, Torres has to face the repercussions of his actions during an undercover operation he worked on years ago.",Terrence O'Hara,Brendan Fehily & David J. North
19,19,The Brat Pack,"May 2, 2022.","NCIS investigates a ring of clever teenage partygoers when a string of break-ins takes place at Marine Base Quantico. While working the case, McGee forms a bond with one of the teens.",Michael Zinberg,Kimberly-Rose Wolter & Katherine Beattie
19,20,All or Nothing,"May 16, 2022.",NCIS investigates the unexpected death of a Navy reservist who was an investigative journalist while Knight and Jimmy's budding romance is put on hold when a vital organ transfer goes fatally wrong.,Tawnia McKiernan,Yasemin Yilmaz & Marco Schnabel
