name,actor,role,cast,episode_key
Security Guard,Tony Taboada,Uncredited role.,Guest_Cast,16x21
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,16x21
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,16x21
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x21
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x21
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,16x21
James Palmer,Brian Dietzen,Medical Examiner for the Major Case Response Team.,Series_Regulars,16x21
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist; Abby's replacement.,Series_Regulars,16x21
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,16x21
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,16x21
Miles Deakin,Mike Farrell,Federal judge and leader of the vigilante network.,Recurring_Cast,16x22
Westley Clark,Scott William Winters,CIA agent.,Recurring_Cast,16x22
Mallory Madden,Dionne Gipson,CIA agent.,Recurring_Cast,16x22
Elaine,Connie Jackson,Waitress.,Recurring_Cast,16x22
Wynn Crawford,Mitch Pileggi,U.S. Secretary of Defense.,Recurring_Cast,16x22
Colt McKinney,Andre Johnson,Bailiff.,Recurring_Cast,16x22
Andrea Holt,Holly Hawkins,"Judge in Sacramento, California and member of the vigilante network.",Guest_Cast,16x22
Howard Tanniston,Time Winters,"Judge in Buffalo, New York and member of the vigilante network.",Guest_Cast,16x22
Daniel Watanabe,Michael Hagiwara,"Judge in Columbus, Ohio and member of the vigilante network.",Guest_Cast,16x22
Brenda King,Liz Benoit,"Judge in Charlotte, North Carolina and member of the vigilante network.",Guest_Cast,16x22
Defense Attorney for Judge,Mircea Oprea,Cameo or Minor Role,Guest_Cast,16x22
Court Attendee,Alexander Aleynikov,"AKA ""Ward"". Uncredited role.",Guest_Cast,16x22
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,16x22
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,16x22
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x22
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x22
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,16x22
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,16x22
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist; Abby's replacement.,Series_Regulars,16x22
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,16x22
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,16x22
Grace Confalone,Laura San Giacomo,Doctor and therapist.,Recurring_Cast,16x23
Inga Petrov,Anne Leighton,Former FSB specialist.,Guest_Cast,16x23
John Calfa,Carl Beukes,Cameo or Minor Role,Guest_Cast,16x23
Lori Wilson,Mary Faber,Victim's wife.,Guest_Cast,16x23
Mary,Angela Sprinkle,Cameo or Minor Role,Guest_Cast,16x23
Drunk Guy,Gus Buktenica,Cameo or Minor Role,Guest_Cast,16x23
Drunk Woman,Heather Grace Hancock,Cameo or Minor Role,Guest_Cast,16x23
Clara Woods,Crystal Coney,Cameo or Minor Role,Guest_Cast,16x23
Poker Dealer,Gregory Garcia,Credit only.,Guest_Cast,16x23
Joe,Chris Gardner,Cameo or Minor Role,Guest_Cast,16x23
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,16x23
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,16x23
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x23
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x23
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,16x23
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,16x23
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist; Abby's replacement.,Series_Regulars,16x23
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,16x23
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,16x23
Tobias Fornell,Joe Spano,Former FBI Agent.,Recurring_Cast,16x24
Emily Fornell,Juliette Angelo,Fornell's daughter.,Recurring_Cast,16x24
Diane Sterling,Melinda McGraw,Fornell and Gibbs's deceased wife.,Recurring_Cast,16x24
Ziva David,Cote de Pablo,Former NCIS Agent.,Recurring_Cast,16x24
Spencer Cox,AJ Achinger,Cameo or Minor Role,Guest_Cast,16x24
Alexis,Haley Tju,Cameo or Minor Role,Guest_Cast,16x24
Berman,Larry Poindexter,Doctor.,Guest_Cast,16x24
Pharmacist,Robert Clendenin,A pharmacist.,Guest_Cast,16x24
Vargas,Yorke G. Fryer,A Doctor and surgeon.,Guest_Cast,16x24
Joseph Taylor,Christopher Allen,An overdose victim.,Guest_Cast,16x24
Local LEO,Christopher Amitrano,Cameo or Minor Role,Guest_Cast,16x24
Paramedic,Michelle Lukiman,Cameo or Minor Role,Guest_Cast,16x24
Ralph Young,Jd Mendonca,Uncredited role.,Guest_Cast,16x24
Technician,Bruce M. Stockert,Uncredited role.,Guest_Cast,16x24
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,16x24
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,16x24
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x24
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,16x24
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,16x24
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,16x24
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist; Abby's replacement.,Series_Regulars,16x24
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,16x24
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,16x24
Ziva David,Cote de Pablo,Former NCIS Agent.,Recurring_Cast,17x1
Adam Eshel,Damon Dayoub,Cameo or Minor Role,Recurring_Cast,17x1
Sahar,Mouzam Makkar,Cameo or Minor Role,Guest_Cast,17x1
Cy,Dale Godboldo,Cameo or Minor Role,Guest_Cast,17x1
Mister Rogers,Hossein Mardani,Cameo or Minor Role,Guest_Cast,17x1
Willie,Nolan Freeman,Cameo or Minor Role,Guest_Cast,17x1
Security Guard 1,Monib Abhat,Cameo or Minor Role,Guest_Cast,17x1
Beer Thief,Yonel Cohen,Uncredited role.,Guest_Cast,17x1
Grizzly Adams,Tom Proctor,Uncredited role.,Guest_Cast,17x1
Rogers's Bodyguard,Laurence Todd Rosenthal,Uncredited role.,Guest_Cast,17x1
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x1
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x1
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x1
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x1
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x1
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x1
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x1
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x1
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x1
Ziva David,Cote de Pablo,Former NCIS Agent.,Recurring_Cast,17x2
Sahar,Mouzam Makkar,Cameo or Minor Role,Recurring_Cast,17x2
Martin Freydano,William O'Leary,Chief.,Guest_Cast,17x2
Dwight Colton,Darri Ingolfsson,Cameo or Minor Role,Guest_Cast,17x2
Andrews,Rich Hutchman,Deputy.,Guest_Cast,17x2
Barney,Teddy Lane Jr.,Deputy.,Guest_Cast,17x2
McCormick,Paul Gregory,Senator.,Guest_Cast,17x2
Ortega,Cherie Jimenez,Senator.,Guest_Cast,17x2
Mother,Erin Flannery,Uncredited role.,Guest_Cast,17x2
Suicide Bomber 1,Mark Krenik,Uncredited role.,Guest_Cast,17x2
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x2
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x2
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x2
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x2
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x2
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x2
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x2
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x2
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,17x2
Peter Buck,Cliff Chamberlain,Marine Lieutenant Elijah Buck's brother.,Guest_Cast,17x3
Vince Pierman,Frankie Jay Allison,Cameo or Minor Role,Guest_Cast,17x3
Esther Daniels,Ellen Geer,Cameo or Minor Role,Guest_Cast,17x3
Lou Jinks,Dylan Vox,Cameo or Minor Role,Guest_Cast,17x3
Michael Franklin,David DeLuise,Cameo or Minor Role,Guest_Cast,17x3
Sara Jones,Tatiana Carr,Cameo or Minor Role,Guest_Cast,17x3
Lance Rama,David L. King,Senior Vice-President of Zullow.,Guest_Cast,17x3
Lenny Dunstrop,Michael Dunn,Cameo or Minor Role,Guest_Cast,17x3
Vera Armstrong,Paulina Bugembe,Military Police Officer.,Guest_Cast,17x3
Conference Goer,Ernest Cornish,Uncredited role.,Guest_Cast,17x3
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x3
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x3
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x3
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x3
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x3
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x3
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x3
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll doesn't appear in this episode.",Series_Regulars,17x3
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,17x3
Bernard Ernest Williams,Joseph Lee Anderson,Lance Corporal in the United States Marine Corps.,Guest_Cast,17x4
Erica Bell,Dana L. Wilson,Doctor.,Guest_Cast,17x4
Melissa Canon,Anastasia Baranova,Cameo or Minor Role,Guest_Cast,17x4
Terry Keller,Devan Chandler Long,"Lead Evidence Custodian, NCIS.",Guest_Cast,17x4
Kyle Freeman,Brent Bailey,A man who appears in the episode.,Guest_Cast,17x4
Henry Hoss,David Carpenter,Cameo or Minor Role,Guest_Cast,17x4
May Stern,Ellen Ratner,Guard at the Department of the Army Civilian Police.,Guest_Cast,17x4
Ian Nowitski,Jeffrey Larson,Guard at the Department of the Army Civilian Police.,Guest_Cast,17x4
Francesca Rinaldi,Jennifer Marshall,Sergeant in the United States Marine Corps.,Guest_Cast,17x4
Ronald T. Jones,Christopher Carrington,Seaman in the United States Navy.,Guest_Cast,17x4
Donald Pretorius,Scott Menville,Sergeant in the United States Army.,Guest_Cast,17x4
Fanny-Packed Tourist,Oren Skoog,Tourist.,Guest_Cast,17x4
Homeless Woman,Kadrolsha Ona Carole,Uncredited role.,Guest_Cast,17x4
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x4
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x4
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x4
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x4
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x4
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x4
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x4
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x4
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x4
Grace Confalone,Laura San Giacomo,Doctor.,Recurring_Cast,17x5
Mira Sahar Azam,Louise Barnes,"AKA ""Sarah"", she is Gibbs's new neighbor and Phineas's mother.",Guest_Cast,17x5
Phineas,Jack Fisher,Gibbs's neighbor who is the son of Sarah/Mira Sahar Azam.,Guest_Cast,17x5
Laney Alimonte,Camryn Grimes,Corporal in the United States Marine Corps.,Guest_Cast,17x5
Wayne Pershing,Tosin Morohunfola,Doctor.,Guest_Cast,17x5
Louisa Banner,Karissa Vacker,Cameo or Minor Role,Guest_Cast,17x5
Rick Romero,Jason Woods,First Lieutenant in the United States Marine Corps.,Guest_Cast,17x5
Mrs. Penziak,Hope Banks,"AKA ""Hihobirdie"", she is Roger Penziak's wife.",Guest_Cast,17x5
Roger Penziak,Alex Nevil,"AKA ""Male Patient"", he is Mrs. Penziak's husband.",Guest_Cast,17x5
Connie,Jane Hae Kim,Uncredited role.,Guest_Cast,17x5
Audrey,Noreen O'Neill,Cameo or Minor Role,Guest_Cast,17x5
Clark,Jeff Friedman,Uncredited role.,Guest_Cast,17x5
Concert Fan,Miles Quincy Martin,Uncredited role.,Guest_Cast,17x5
Joe Cortez,Teddy Rodriguez,Uncredited role.,Guest_Cast,17x5
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x5
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x5
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x5
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x5
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x5
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x5
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x5
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x5
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x5
Dante Brown,Devale Ellis,Kasie's best friend and suspect.,Guest_Cast,17x6
Desmond Walters,Wayne Lopez,Prison Sergeant and drug smuggler.,Guest_Cast,17x6
Renee Quichera,Bertila Damas,Master Chief Petty Officer in the United States Navy and Kendall Quichera's aunt.,Guest_Cast,17x6
Kendall Quichera,Brent Henri,Murder victim.,Guest_Cast,17x6
Rita Brindle,Elizabeth Laidlaw,Correction Officer.,Guest_Cast,17x6
Benny,Martin Copping,Cameo or Minor Role,Guest_Cast,17x6
Ricky McCoy,E. Ambriz De Colosio,Cameo or Minor Role,Guest_Cast,17x6
Edgar Ramirez,Carl Donelson,Cameo or Minor Role,Guest_Cast,17x6
Tanya Owens,Mary Kate Garrney,Cameo or Minor Role,Guest_Cast,17x6
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x6
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x6
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x6
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x6
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x6
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x6
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x6
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x6
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x6
Phineas,Jack Fisher,Gibbs's neighbor.,Recurring_Cast,17x7
Patrick Norian,Kevin Kilner,Cameo or Minor Role,Guest_Cast,17x7
Richard Devol,Zak Steiner,Staff Sergeant in the United States Marine Corps and Elena Devol's son.,Guest_Cast,17x7
Elena Devol,Lisa LoCicero,Torres's girlfriend and Richard Devol's mother.,Guest_Cast,17x7
Eric Riley,Aaron Craven,U.S. Congressman (Representative) from Virginia and the killer.,Guest_Cast,17x7
Monica Shaw,Jessica Cavanagh,A woman who is the wife of Marine Master Gunnery Sergeant Aaron Shaw.,Guest_Cast,17x7
Phil Rutland,Frank Clem,Cameo or Minor Role,Guest_Cast,17x7
Neil Koh,Eugene Shaw,Master Sergeant in the United States Marine Corps.,Guest_Cast,17x7
Amy,Alina Phelan,Cameo or Minor Role,Guest_Cast,17x7
Marina Bazarov,Tanya Leon,Russian spy.,Guest_Cast,17x7
Karen,Alison Trumbull,Cameo or Minor Role,Guest_Cast,17x7
Ted,Tatum Shank,Cameo or Minor Role,Guest_Cast,17x7
Dylan,Kale Brady Culley,Cameo or Minor Role,Guest_Cast,17x7
Harper,Rainey Spurlock,Cameo or Minor Role,Guest_Cast,17x7
Tim Miller,Dylan Mattina,Cameo or Minor Role,Guest_Cast,17x7
Campaign Worker,Shelsie Blake,Uncredited role.,Guest_Cast,17x7
Campaign Volunteer,Keenan Crosland,Uncredited role.,Guest_Cast,17x7
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x7
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x7
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x7
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x7
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x7
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x7
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x7
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x7
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,17x7
Faith Tolliver,Kate Hamilton,NCIS Forensic Psychologist Jacqueline Sloane's daughter.,Recurring_Cast,17x8
Concert Fan,Miles Quincy Martin,Uncredited role.,Recurring_Cast,17x8
Neil Farzad,Eyas Younis,Navy Senior Chief Musician.,Guest_Cast,17x8
Hannah McClain,Emma Bell,Navy Musician First Class.,Guest_Cast,17x8
Luke Undervoy,Owen Saxon,Navy Musician First Class.,Guest_Cast,17x8
John Warren,Richie Rosales,Navy Musician First Class and murder victim.,Guest_Cast,17x8
Hugo Grava,Link Ruiz,Music equipment manager and rhodium smuggler.,Guest_Cast,17x8
Andrew Hopper,Eric Winzenried,Cameo or Minor Role,Guest_Cast,17x8
Mature Woman,Peg Shirley,Cameo or Minor Role,Guest_Cast,17x8
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team. Later leaves the team midway through the investigation to go assist Tobias Fornell on an unknown event.,Series_Regulars,17x8
Timothy McGee,Sean Murray,"Senior Special Agent and second-in-command of the NCIS Major Case Response Team. Following Gibbs's temporary departure from the team, McGee becomes the temporary Special Agent in Charge and the acting leader of the team.",Series_Regulars,17x8
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x8
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x8
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x8
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x8
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x8
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x8
Donald Mallard,David McCallum,NCIS Historian.,Series_Regulars,17x8
Mira Sahar Azam,Louise Barnes,"AKA ""Sarah"", she is Gibbs's neighbor and Phineas's mother.",Recurring_Cast,17x9
Phineas,Jack Fisher,"Gibbs's neighbor who is also the son of Mira Sahar Azam (AKA ""Sarah"").",Recurring_Cast,17x9
Elmer Barlow,Rick Overton,Former senior vice president of network technologies from SwiftCast Communications and the murderer.,Guest_Cast,17x9
Dustin Vanderschmitt,Tyler Francavilla,A man who appears in the episode.,Guest_Cast,17x9
Nancy,Sonya Leslie,A woman who appears in the episode.,Guest_Cast,17x9
Jesse Gilyard,Paul Norwood,A man who appears in the episode.,Guest_Cast,17x9
Emma,Serafina Polite,Cameo or Minor Role,Guest_Cast,17x9
Ian Rojas,Christopher Bencomo,Navy Petty Officer First Class and the main murder victim.,Guest_Cast,17x9
Marion,Reatha Grey,Cameo or Minor Role,Guest_Cast,17x9
Virgil,Carter Mitchell,Cameo or Minor Role,Guest_Cast,17x9
Rosalind,Briana Cuoco,Cameo or Minor Role,Guest_Cast,17x9
Female Yoga Resident,Amber Martinez,Uncredited role.,Guest_Cast,17x9
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x9
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x9
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x9
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x9
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x9
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x9
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x9
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll doesn't appear in this episode.",Series_Regulars,17x9
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x9
Ziva David,Cote de Pablo,Former NCIS Special Agent.,Recurring_Cast,17x10
Adam Eshel,Damon Dayoub,Officer with Shin Bet who was undercover as a mole in Mira Sahar Azam's terrorist group.,Recurring_Cast,17x10
Odette Malone,Elayn J. Taylor,A former CIA operative and trainer.,Recurring_Cast,17x10
Mira Sahar Azam,Louise Barnes,"Gibbs's neighbor and the real Mira Sahar Azamt who had been posing as ""Sarah"".",Recurring_Cast,17x10
Phineas,Jack Fisher,"Gibbs's neighbor and the son of Mira Sahar Azamt (AKA ""Sarah"").",Recurring_Cast,17x10
Victor Mir,Usman Ally,Information broker.,Guest_Cast,17x10
Joe,Jeremy Batiste,Security Guard.,Guest_Cast,17x10
Russell,Sam Asghari,Security Guard.,Guest_Cast,17x10
Supervisor,Tatiana Turan,Cameo or Minor Role,Guest_Cast,17x10
Agent,Brunson K Delves,Cameo or Minor Role,Guest_Cast,17x10
Gabriel Cross,Tom McComas,Uncredited role.,Guest_Cast,17x10
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x10
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x10
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x10
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x10
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x10
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x10
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x10
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll doesn't appear in this episode.",Series_Regulars,17x10
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x10
Ziva David,Cote de Pablo,Former NCIS Agent.,Recurring_Cast,17x11
Mira Sahar Azam,Louise Barnes,"Gibbs's neighbor, Phineas's mother and a terrorist who used the name, ""Sarah"".",Recurring_Cast,17x11
Phineas,Jack Fisher,Gibbs's neighbor.,Recurring_Cast,17x11
Victor Mir,Usman Ally,Information Broker.,Recurring_Cast,17x11
Joe,Jeremy Batiste,Security Guard.,Recurring_Cast,17x11
Jamal Antar,Alain Ali Washnevsky,Embassy Worker.,Guest_Cast,17x11
Jane,Kate Rene Gleason,Cameo or Minor Role,Guest_Cast,17x11
Micki Kaydar,Karri Turner,Phineas's aunt and George Kaydar's wife.,Guest_Cast,17x11
George Kaydar,John Gloria,Phineas's uncle and Micki Kaydar's husband.,Guest_Cast,17x11
Hurley,Zakary Risinger,Cameo or Minor Role,Guest_Cast,17x11
Tammy Gantry,TaiVon McKinney,TSA Agent.,Guest_Cast,17x11
Lenny,Hap Lawrence,TSA Agent.,Guest_Cast,17x11
Ernie,Hugo Garcia,Cameo or Minor Role,Guest_Cast,17x11
Gloria,Monica Day,Cameo or Minor Role,Guest_Cast,17x11
Kenny,Roland Ruiz,Cameo or Minor Role,Guest_Cast,17x11
Maureen,Yvette Carson,Cameo or Minor Role,Guest_Cast,17x11
Big Lou,Phil Idrissi,Cameo or Minor Role,Guest_Cast,17x11
Sandlock,Paul Riley Fox,TSA Agent. Uncredited role.,Guest_Cast,17x11
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,17x11
Timothy McGee,Sean Murray,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,17x11
Eleanor Bishop,Emily Wickersham,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x11
Nicholas Torres,Wilmer Valderrama,Special Agent for the NCIS Major Case Response Team.,Series_Regulars,17x11
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,Series_Regulars,17x11
James Palmer,Brian Dietzen,Chief Medical Examiner for the Major Case Response Team.,Series_Regulars,17x11
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,Series_Regulars,17x11
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,17x11
Donald Mallard,David McCallum,"NCIS Historian. Despite being credited, McCallum doesn't appear in this episode.",Series_Regulars,17x11
Big Lou,Phil Idrissi,Cameo or Minor Role,Recurring_Cast,17x12
Jennifer Leo,Megan Gallagher,Under Secretary of the Navy.,Recurring_Cast,17x12
